source,supplierName,sourceUrl,externalId,name,brand,manufacturer,category,unit,currency,price,quantity,catalogOnly,description
ultradent-official,Ultradent,https://www.ultradent.com/products/categories/whitening/take-home/opalescence-pf-ad,ultradent-opalescence-pf,Opalescence PF,Ultradent,"Ultradent Products, Inc.",Отбеливание,шт,,,,true,Профессиональный гель для домашнего отбеливания в индивидуальных каппах. Концентрация вкус и количество шприцев выбираются в варианте товара.
ultradent-official,Ultradent,https://www.ultradent.com/products/categories/bond-etch/etchants/ultra-etch-ad,ultradent-ultra-etch,Ultra-Etch,Ultradent,"Ultradent Products, Inc.",Протравочные материалы,шт,,,,true,Гель для протравливания эмали и дентина перед нанесением адгезива. Фасовка и количество шприцев выбираются в варианте товара.
ultradent-official,Ultradent,https://www.ultradent.com/products/categories/bond-etch/adhesives/peak-universal-bond?group=1621,ultradent-peak-universal-bond,Peak Universal Bond,Ultradent,"Ultradent Products, Inc.",Адгезивные системы,шт,,,,true,Адгезив для прямых и непрямых реставраций. Флакон шприц одноразовые дозы и наборы представлены вариантами одной карточки.
ultradent-official,Ultradent,https://www.ultradent.com/products/categories/composites/paste-type-composite/transcend-ad,ultradent-transcend-universal-composite,Transcend Universal Composite,Ultradent,"Ultradent Products, Inc.",Композитные материалы,шт,,,,true,Универсальный композит для реставраций передних и боковых зубов. Оттенок и форма выпуска выбираются в варианте товара.
ultradent-official,Ultradent,https://www.ultradent.com/products/categories/equipment/curing-lights/valo-x?sku=5973-,ultradent-valo-x,VALO X,Ultradent,"Ultradent Products, Inc.",Полимеризационные лампы,шт,,,,true,Светодиодная лампа для полимеризации стоматологических материалов. Цвет корпуса и комплектация указываются в варианте товара.
wh-official,W&H,https://www.wh.com/en_global/dental-products/sterilization-hygienic-maintenance/reprocessing-devices/assistina-one,wh-assistina-one,W&H Assistina One,W&H,W&H Dentalwerk Bürmoos GmbH,Уход за наконечниками,шт,,,,true,Аппарат для автоматического ухода за стоматологическими наконечниками. Тип подключения и комплектация выбираются в варианте товара.
wh-official,W&H,https://www.wh.com/en_global/dental-products/sterilization-hygienic-maintenance/sterilizers/lara-xl,wh-lara-xl,W&H Lara XL,W&H,W&H Dentalwerk Bürmoos GmbH,Автоклавы,шт,,,,true,Автоклав с камерой 28 л для стерилизации инструментов. Комплектация и дополнительные функции указываются в варианте товара.
wh-official,W&H,https://www.wh.com/en_global/dental-products/sterilization-hygienic-maintenance/sterilizers/lisa-mini,wh-lisa-mini,W&H Lisa Mini,W&H,W&H Dentalwerk Bürmoos GmbH,Автоклавы,шт,,,,true,Компактный автоклав для быстрой стерилизации наконечников и других инструментов. Объём камеры и напряжение выбираются в варианте товара.
wh-official,W&H,https://www.wh.com/en_global/dental-products/oralsurgery-implantology/surgical-devices/implantmed-2,wh-implantmed-plus-ii,W&H Implantmed Plus II,W&H,W&H Dentalwerk Bürmoos GmbH,Хирургическое оборудование,шт,,,,true,Хирургический мотор для имплантологии и челюстно-лицевой хирургии. Сканирование и тип педали зависят от выбранной комплектации.
wh-official,W&H,https://www.wh.com/en_global/dental-products/oralsurgery-implantology/surgical-devices/piezomed,wh-piezomed,W&H Piezomed,W&H,W&H Dentalwerk Bürmoos GmbH,Хирургическое оборудование,шт,,,,true,Ультразвуковой аппарат для точной работы с костной тканью. Набор инструментов и комплектация указываются в варианте товара.
kuraray-official,Kuraray Noritake,https://www.kuraraynoritake.eu/en/clearfil-universal-bond-quick-2,kuraray-clearfil-universal-bond-quick-2,CLEARFIL Universal Bond Quick 2,Kuraray Noritake,Kuraray Noritake Dental Inc.,Адгезивные системы,шт,,,,true,Универсальный адгезив для прямых и непрямых реставраций. Флакон набор из трёх флаконов или одноразовые дозы выбираются в варианте товара.
kuraray-official,Kuraray Noritake,https://www.kuraraynoritake.eu/en/clearfil-se-bond-2,kuraray-clearfil-se-bond-2,CLEARFIL SE BOND 2,Kuraray Noritake,Kuraray Noritake Dental Inc.,Адгезивные системы,шт,,,,true,Двухэтапная самопротравливающая адгезивная система. Набор отдельный праймер бонд или одноразовые дозы выбираются в варианте товара.
kuraray-official,Kuraray Noritake,https://www.kuraraynoritake.eu/en/en-en/resin-cements/panavia-v5,kuraray-panavia-v5,PANAVIA V5,Kuraray Noritake,Kuraray Noritake Dental Inc.,Стоматологические цементы,шт,,,,true,Композитный цемент для постоянной фиксации непрямых реставраций. Состав набора и оттенки пасты указываются в варианте товара.
kuraray-official,Kuraray Noritake,https://www.kuraraynoritake.eu/en/en-en/resin-cements/panavia-sa-cement-universal,kuraray-panavia-sa-cement-universal,PANAVIA SA Cement Universal,Kuraray Noritake,Kuraray Noritake Dental Inc.,Стоматологические цементы,шт,,,,true,Самоадгезивный композитный цемент для постоянной фиксации реставраций. Способ смешивания фасовка и оттенок выбираются в варианте товара.
kuraray-official,Kuraray Noritake,https://www.kuraraynoritake.eu/en/clearfil-majesty-es2-universal,kuraray-clearfil-majesty-es2-universal,CLEARFIL MAJESTY ES-2 Universal,Kuraray Noritake,Kuraray Noritake Dental Inc.,Композитные материалы,шт,,,,true,Универсальный композит для передних и боковых реставраций. Оттенок и форма выпуска выбираются в варианте товара.
bisco-official,BISCO,https://www.bisco.com/all-bond-universal-bottle/,bisco-all-bond-universal,All-Bond Universal,BISCO,"BISCO, Inc.",Адгезивные системы,шт,,,,true,Универсальный светоотверждаемый адгезив для прямых и непрямых реставраций. Фасовка и состав набора указываются в варианте товара.
bisco-official,BISCO,https://www.bisco.com/theracal-lc/,bisco-theracal-lc,TheraCal LC,BISCO,"BISCO, Inc.",Прокладочные материалы,шт,,,,true,Светоотверждаемый материал на основе силиката кальция для защиты пульпы и прокладки под реставрацию. Количество шприцев выбирается в варианте товара.
bisco-official,BISCO,https://www.bisco.com/duolink-universal-resin-luting-cement/,bisco-duo-link-universal,Duo-Link Universal,BISCO,"BISCO, Inc.",Стоматологические цементы,шт,,,,true,Композитный цемент двойного отверждения для постоянной фиксации непрямых реставраций. Оттенок выбирается в варианте товара.
bisco-official,BISCO,https://www.bisco.com/biscem/,bisco-biscem,BisCem,BISCO,"BISCO, Inc.",Стоматологические цементы,шт,,,,true,Самоадгезивный композитный цемент двойного отверждения для постоянной фиксации. Оттенок выбирается в варианте товара.
bisco-official,BISCO,https://www.bisco.com/aeliteflo/,bisco-aeliteflo,Aeliteflo,BISCO,"BISCO, Inc.",Композитные материалы,шт,,,,true,"Текучий композит для небольших реставраций, герметизации и ремонта. Оттенок выбирается в варианте товара."
bisco-official,BISCO,https://www.bisco.com/aelite-aesthetic-enamel-single-syringe/,bisco-aelite-aesthetic-enamel-single-syringe,Aelite Aesthetic Enamel,BISCO,"BISCO, Inc.",Композитные материалы,шт,,,,true,Композит для воспроизведения эмали в эстетических реставрациях. Форма выпуска и оттенок выбираются в варианте товара.
bisco-official,BISCO,https://www.bisco.com/aelite-all-purpose-body-single-syringe/,bisco-aelite-all-purpose-body-single-syringe,Aelite All-Purpose Body,BISCO,"BISCO, Inc.",Композитные материалы,шт,,,,true,Универсальный композит для формирования основного слоя реставрации. Форма выпуска и оттенок выбираются в варианте товара.
bisco-official,BISCO,https://www.bisco.com/aelite-ls-posterior-single-syringe/,bisco-aelite-ls-posterior-single-syringe,Aelite LS Posterior,BISCO,"BISCO, Inc.",Композитные материалы,шт,,,,true,Композит с низкой усадкой для реставраций боковых зубов. Форма выпуска и оттенок выбираются в варианте товара.
bisco-official,BISCO,https://www.bisco.com/all-bond-3-kit-eu/,bisco-all-bond-3-kit-eu,All-Bond 3,BISCO,"BISCO, Inc.",Адгезивные системы,шт,,,,true,Двухкомпонентная адгезивная система для прямых и непрямых реставраций. Комплектация выбирается в варианте товара.
bisco-official,BISCO,https://www.bisco.com/bisfil-2b-dual-syringes/,bisco-bisfil-2b-dual-syringes,Bisfil 2B,BISCO,"BISCO, Inc.",Композитные материалы,шт,,,,true,Композит двойного отверждения для восстановления основы зуба. Форма выпуска и оттенок выбираются в варианте товара.
bisco-official,BISCO,https://www.bisco.com/choice-2-veneer-cement/,bisco-choice-2-veneer-cement,Choice 2,BISCO,"BISCO, Inc.",Стоматологические цементы,шт,,,,true,Светоотверждаемый цемент для фиксации виниров. Оттенок или набор выбирается в варианте товара.
bisco-official,BISCO,https://www.bisco.com/core-flo-dc-dual-syringes/,bisco-core-flo-dc-dual-syringes,Core-Flo DC,BISCO,"BISCO, Inc.",Материалы для восстановления,шт,,,,true,Текучий материал двойного отверждения для восстановления культи. Оттенок выбирается в варианте товара.
bisco-official,BISCO,https://www.bisco.com/fortify-bottle/,bisco-fortify-bottle,Fortify,BISCO,"BISCO, Inc.",Композитные материалы,шт,,,,true,Светоотверждаемый герметик для поверхности композитной реставрации. Фасовка указана в варианте товара.
bisco-official,BISCO,https://www.bisco.com/intraoral-repair-kit/,bisco-intraoral-repair-kit,Intraoral Repair Kit,BISCO,"BISCO, Inc.",Материалы для восстановления,шт,,,,true,Набор для ремонта керамических и металлокерамических реставраций во рту. Комплектация указана в варианте товара.
bisco-official,BISCO,https://www.bisco.com/modeling-resin/,bisco-modeling-resin,Modeling Resin,BISCO,"BISCO, Inc.",Композитные материалы,шт,,,,true,Моделировочная смола для адаптации и формирования композита. Фасовка указана в варианте товара.
bisco-official,BISCO,https://www.bisco.com/one-step-plus-bottle/,bisco-one-step-plus-bottle,One-Step Plus,BISCO,"BISCO, Inc.",Адгезивные системы,шт,,,,true,Однокомпонентный адгезив с наполнителем для прямых и непрямых реставраций. Фасовка указана в варианте товара.
bisco-official,BISCO,https://www.bisco.com/porcelain-bonding-resin/,bisco-porcelain-bonding-resin,Porcelain Bonding Resin,BISCO,"BISCO, Inc.",Адгезивные системы,шт,,,,true,Смола для улучшения смачивания и соединения при работе с керамикой. Фасовка указана в варианте товара.
bisco-official,BISCO,https://www.bisco.com/porcelain-etchant-syringe/,bisco-porcelain-etchant-syringe,Porcelain Etchant,BISCO,"BISCO, Inc.",Протравочные материалы,шт,,,,true,Гель для протравливания стеклокерамики и фарфора. Концентрация выбирается в варианте товара.
bisco-official,BISCO,https://www.bisco.com/porcelain-primer/,bisco-porcelain-primer,Porcelain Primer,BISCO,"BISCO, Inc.",Праймеры и очистители,шт,,,,true,Однокомпонентный силановый праймер для подготовки керамической поверхности перед фиксацией или ремонтом. Фасовка указана в варианте товара.
bisco-official,BISCO,https://www.bisco.com/porcelain-primer/,bisco-bis-silane,Bis-Silane,BISCO,"BISCO, Inc.",Праймеры и очистители,шт,,,,true,Двухкомпонентный силановый праймер для подготовки керамической поверхности перед фиксацией или ремонтом. Комплектация указана в варианте товара.
bisco-official,BISCO,https://www.bisco.com/theracem/,bisco-theracem,TheraCem,BISCO,"BISCO, Inc.",Стоматологические цементы,шт,,,,true,Самоадгезивный композитный цемент двойного отверждения с выделением кальция. Фасовка указана в варианте товара.
bisco-official,BISCO,https://www.bisco.com/uni-etch/,bisco-uni-etch,Uni-Etch,BISCO,"BISCO, Inc.",Протравочные материалы,шт,,,,true,Гель фосфорной кислоты для протравливания эмали и дентина. Фасовка выбирается в варианте товара.
bisco-official,BISCO,https://www.bisco.com/z-prime-plus/,bisco-z-prime-plus,Z-Prime Plus,BISCO,"BISCO, Inc.",Праймеры и очистители,шт,,,,true,"Праймер для подготовки циркония, металла и оксида алюминия перед фиксацией. Объём выбирается в варианте товара."
bisco-kz-distributor,Denko-Tau,https://www.denco.kz/index.php?page=shop.product_details&flypage=flypage.tpl&product_id=30&category_id=15&manufacturer_id=3&option=com_virtuemart&Itemid=17,bisco-aqua-prep-f,Aqua-Prep F,BISCO,"BISCO, Inc.",Праймеры и очистители,шт,,,,true,Средство для повторного увлажнения дентина перед нанесением адгезива. Объём флакона выбирается в варианте товара.
bisco-kz-distributor,Denko-Tau,https://www.denco.kz/index.php?page=shop.product_details&flypage=flypage.tpl&product_id=43&category_id=31&manufacturer_id=3&option=com_virtuemart&Itemid=17,bisco-biscover-lv,Biscover LV,BISCO,"BISCO, Inc.",Композитные материалы,шт,,,,true,Светоотверждаемое защитное покрытие для поверхности композитной реставрации. Фасовка указана в варианте товара.
