officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,sourceDocumentPage,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
DENU-HDI-DENU-TEMP-CROWN-CARTRIDGE,DENU,HDI Inc.,Denu Temp Crown Cartridge,,,3,Временные коронки и мосты,14,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-FIL-FLOW-FOR-IMPLANT,DENU,HDI Inc.,Denu Fil Flow for Implant,,,1,Материалы для имплантатов,15,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-BLOCK-OUT-RESIN,DENU,HDI Inc.,Denu Block-out Resin,,,1,Материалы для изготовления кап,15,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-ETCH-37,DENU,HDI Inc.,Denu Etch-37,,,1,Протравочные материалы,16,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-BOND,DENU,HDI Inc.,Denu Bond,,,1,Адгезивные системы,16,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-TEMP-CEMENT-NE,DENU,HDI Inc.,Denu Temp Cement NE,,,1,Временные цементы,17,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-TEMP-CEMENT-EZ,DENU,HDI Inc.,Denu Temp Cement EZ,,,1,Временные цементы,17,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-TEMP-CEMENT-IMPLANT,DENU,HDI Inc.,Denu Temp Cement Implant,,,1,Временные цементы для имплантатов,17,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-TEMCEMENT-CLEANER,DENU,HDI Inc.,Denu TemCement Cleaner,,,2,Очистка временного цемента,17,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-DUAL-CORE,DENU,HDI Inc.,Denu Dual Core,,,2,Материалы для восстановления культи,18,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-BASE-LINER,DENU,HDI Inc.,Denu Base Liner,,,1,Прокладочные материалы,18,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-VASELINE,DENU,HDI Inc.,Denu Vaseline,,,1,Разделительные материалы,19,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-EDTA-CREAM,DENU,HDI Inc.,Denu EDTA Cream,,,1,Эндодонтические материалы,19,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-SPARKLE,DENU,HDI Inc.,Denu Sparkle,,,2,Профессиональное отбеливание,20,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-DAM,DENU,HDI Inc.,Denu Dam,,,1,Защита десны при отбеливании,20,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-CLEAR-VARNISH,DENU,HDI Inc.,Denu Clear Varnish,,,2,Фторлаки,22,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-VARNISH,DENU,HDI Inc.,Denu Varnish,,,2,Фторлаки,22,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-FLUORIDE-GEL,DENU,HDI Inc.,Denu Fluoride Gel,,,3,Фторирование,23,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-FLUORIDE-GEL-TRAY,DENU,HDI Inc.,Denu Fluoride Gel Tray,,,3,Ложки для фторирования,23,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-SEAL,DENU,HDI Inc.,Denu Seal,,,1,Герметики фиссур,24,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-PUMICE-PASTE,DENU,HDI Inc.,Denu Pumice Paste,,,4,Полировочные пасты,24,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-ROOT-SEAL,DENU,HDI Inc.,Denu Root Seal,,,1,Материалы для пломбирования каналов,25,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-PASTE,DENU,HDI Inc.,Denu Paste,,,1,Кальцийсодержащие эндодонтические материалы,25,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-PEX,DENU,HDI Inc.,Denu Pex,,,1,Йодоформные эндодонтические материалы,25,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-OSSNOVA,DENU,HDI Inc.,Denu OssNOVA,,,9,Костнопластические материалы,26,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-CURE-CEM-MTA,DENU,HDI Inc.,Denu Cure CEM MTA,,,2,МТА-материалы,26,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-CURE-SEAL-MTA,DENU,HDI Inc.,Denu Cure Seal MTA,,,1,МТА-силеры,26,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-STICK-FREE,DENU,HDI Inc.,Denu Stick Free,,,1,Держатели для реставраций,27,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-BITE-BLOCK-COVER,DENU,HDI Inc.,Denu Bite Block Cover,,,1,Барьерная защита,27,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-DIGITAL-SENSOR-COVER,DENU,HDI Inc.,Denu Digital Sensor Cover,,,1,Барьерная защита,27,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
DENU-HDI-DENU-INTRAORAL-CAMERA-COVER,DENU,HDI Inc.,Denu Intraoral Camera Cover,,,1,Барьерная защита,27,,0,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_MARKET,PHOTO_REQUIRED,https://www.keverocsor.hu/custom/keverocsordiszkont/image/data/srattached/c6e9c5a8b7068235526dccd0b84180ce_2026-denu-HDI-katalogus.pdf
