brand,manufacturerEvidenceProducts,publicProducts,evidenceSources,classificationStatus,classificationReason,status
Kulzer,249,233,kulzer-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Kuraray Noritake,49,53,kuraray-noritake-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
LaTus,151,152,latus-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
LM Dental,362,358,lm-dental-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Madespa,43,37,madespa-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Majestic,110,108,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
MEDESY,433,421,medesy-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Medexim,0,0,,EXPORTER_DISTRIBUTOR_NOT_DENTAL_PRODUCT_BRAND,"Medexim's dental compressor pages explicitly identify EKOM equipment. EKOM is already represented as the manufacturer brand, so duplicating the same products under Medexim would create false brand cards.",MARKET_LABEL_CLASSIFIED_NO_CANONICAL_CATALOG
Medit,12,12,medit-manufacturer-catalog.json | denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
MedPark,6,4,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
Medprotect,2,2,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
MELAG,83,71,melag-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Mercury,108,104,mercury-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
MGF,312,110,mgf-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Miglionico,7,7,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
Miradent,3,3,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
Morita,33,31,morita-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
MustDent,0,0,,KAZAKHSTAN_SUPPLIER_NOT_MANUFACTURER_BRAND,"MustDent is a Kazakhstan wholesale legal entity/importer. The current Denti.kz brand filter has no exact MustDent entry, and supplier catalogue paths must not be converted into a manufacturer brand.",MARKET_LABEL_CLASSIFIED_NO_CANONICAL_CATALOG
Myobrace,22,22,myobrace-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
MyRay,18,11,myray-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
NIC,68,66,nic-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
NSK,70,46,nsk-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
NTI,721,403,nti-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Nuvo,0,0,,PRODUCT_LINE_LABEL_MANUFACTURER_IDENTITY_REQUIRED,The Kazakhstan observation is a Nuvo surgical suit listing. It does not establish a dental manufacturer identity or a standalone manufacturer SKU catalogue.,MARKET_LABEL_CLASSIFIED_NO_CANONICAL_CATALOG
Olident,40,40,olident-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Omega Dent,24,24,nordstom-full-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
One Drop Only,8,8,nordstom-full-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Ordamed,0,0,,KAZAKHSTAN_DISTRIBUTOR_NOT_MANUFACTURER_BRAND,Ordamed is a Kazakhstan medical equipment distributor/company. Products must be attributed to their actual manufacturers instead of creating an Ordamed manufacturer catalogue.,MARKET_LABEL_CLASSIFIED_NO_CANONICAL_CATALOG
Ormco,15,15,nordstom-full-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Osstem,60,35,osstem-kz-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
OSUNG MND,1652,1624,osung-manufacturer-catalog.json | denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
Pierrot,24,24,pierrot-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Planmeca,3,9,nordstom-full-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Plasmapp,6,6,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
President,8,8,nordstom-full-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
RAY,88,80,ray-manufacturer-catalog.json | denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
Revyline,208,203,revyline-kz-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Saeshin,38,38,saeshin-manufacturer-catalog.json | denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
Sanavita,1,1,nordstom-full-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Sanctuary,1,1,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
Sani,28,27,sani-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Septodont,55,52,septodont-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Shenzhen Perfect,15,7,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
Shinhung,7,7,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
SHINING 3D,40,40,shining3d-manufacturer-catalog.json | denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
Shofu,97,98,shofu-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
SIGER,8,8,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
Sigmadent SD Ceram,11,11,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
SOCO,6,6,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
Solventum,246,190,solventum-dental-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
StomaDent,5,5,nordstom-full-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Strauss,1798,480,strauss-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Suntem,11,5,suntem-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Tealth,98,107,tealth-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Thelavicos,14,14,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
TOBOOM,1058,1005,toboom-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Tokuyama Dental,21,35,nordstom-full-catalog.json | denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
Tor VM,103,102,nordstom-full-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
TORNADO,0,4,,DURR_DENTAL_PRODUCT_LINE_ALIAS,"TORNADO is an official compressor product line of Dürr Dental, not a separate manufacturer brand. Existing Kazakhstan observations are preserved and reconciled against the structured Dürr Dental catalogue instead of creating duplicate brand cards.",MARKET_LABEL_CLASSIFIED_NO_CANONICAL_CATALOG
Ultradent,185,186,ultradent-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
UP3D,19,17,up3d-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
VDW,35,41,nordstom-full-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Vericom,31,29,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
VITA,80,79,vita-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
VOCO,166,164,voco-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
VRN,40,46,vrn-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
VT Cosmetics,1,1,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
W&H,63,21,wh-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Wellmed,7,7,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
Woodpecker,145,131,woodpecker-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Xpect Vision,1,1,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
XTCERA,4,4,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
YouJoy,33,36,youjoy-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
Zhermack,94,76,zhermack-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
ZION,36,30,denti-kz-brand-listings.json,,,STRUCTURED_EVIDENCE_COLLECTED
ZT Dental,107,105,ztdental-manufacturer-catalog.json,,,STRUCTURED_EVIDENCE_COLLECTED
