brand,canonicalProductName,manufacturerRef,variantLabel
GC,GC G-CEM ONE,013672,Системный набор · шприцы TR и A2 по 4.6 г + AEP 4 мл + G-Multi Primer 5 мл
GC,GC G-CEM ONE,013673,2 шприца × 4.6 г · оттенок A2
GC,GC G-CEM ONE,013674,2 шприца × 4.6 г · прозрачный TR
GC,GC G-CEM ONE,013675,Шприц 4.6 г · опаковый A3
GC,GC G-CEM ONE,013676,Шприц 4.6 г · белый опаковый
GC,GC G-Premio BOND,012696,Флакон 5 мл
GC,GC G-Premio BOND,012691,Набор · флакон 5 мл + 50 аппликаторов + 20 лунок
GC,GC G-Premio BOND,009276,Унидозы 50 × 0.1 мл + аппликаторы
GC,GC G-Premio BOND,009552,DCA · флакон 3 мл
Kerr,Kerr Harmonize,36633,Стартовый набор · 4 шприца × 4 г · оттенки A2 / A3 / A3.5
Kerr,Kerr Harmonize,36634,Стартовый набор · 40 унидоз × 0.25 г · оттенки A2 / A3 / A3.5
Kerr,Kerr Harmonize,36635,Расширенный набор · 8 шприцев × 4 г · 8 оттенков
Kerr,Kerr Maxcem Elite Chroma,36371,Стандартный набор · 4 шприца × 5 г · прозрачный × 2 / белый / жёлтый
Kerr,Kerr Maxcem Elite Chroma,36372,2 шприца × 5 г · прозрачный
Kerr,Kerr Maxcem Elite Chroma,36373,2 шприца × 5 г · белый
Kerr,Kerr Maxcem Elite Chroma,36374,2 шприца × 5 г · жёлтый
Kerr,Kerr OptiBond Universal,36517,Набор · флакон 5 мл + протравка 3 г + принадлежности
Kerr,Kerr OptiBond Universal,36518,Набор унидоз 100 × 0.18 мл + протравка 3 г
Kerr,Kerr OptiBond Universal,36519,Флакон 5 мл
NSK,NSK S-Max M900,M900L,Для соединения NSK · с подсветкой
NSK,NSK S-Max M900,M900KL,Для соединения KaVo · с подсветкой
NSK,NSK S-Max M900,M900ML,Для соединения Morita α · с подсветкой
NSK,NSK S-Max M900,M900YL,Для соединения Yoshida · с подсветкой
NSK,NSK S-Max M900,M900FL,Для соединения Osada Fine · с подсветкой
NSK,NSK S-Max M900,M900SL,Для соединения Dentsply Sirona · с подсветкой
NSK,NSK Ti-Max Z990,Z990L,Для соединения NSK · с подсветкой
NSK,NSK Ti-Max Z990,Z990KL,Для соединения KaVo · с подсветкой
NSK,NSK Ti-Max Z990,Z990ML,Для соединения Morita α · с подсветкой
NSK,NSK Ti-Max Z990,Z990YL,Для соединения Yoshida · с подсветкой
NSK,NSK Ti-Max Z990,Z990FL,Для соединения Osada Fine · с подсветкой
NSK,NSK Ti-Max Z990,Z990SL,Для соединения Dentsply Sirona · с подсветкой
NSK,NSK Varios 970,VA970,Базовая комплектация Varios 970
NSK,NSK Varios Combi Pro2,VCP2,Базовая комплектация Varios Combi Pro2
Planmeca,Planmeca Pro50,Pro50,Стоматологическая установка · базовая комплектация Pro50
VOCO,VOCO Admira Fusion,2750,Набор шприцев 5 × 3 г · A1 / A2 / A3 / A3.5 / x-tra
VOCO,VOCO Admira Fusion,2778,Пробный набор · 9 капсул × 0.2 г + Flow 2 г + x-tra
VOCO,VOCO Admira Fusion,2780,Набор капсул 75 × 0.2 г · A1 / A2 / A3 / A3.5 / x-tra
VOCO,VOCO Admira Fusion,2754,Шприц 3 г · оттенок A1
VOCO,VOCO Admira Fusion,2782,Капсулы 15 × 0.2 г · оттенок A1
VOCO,VOCO Admira Fusion,2755,Шприц 3 г · оттенок A2
VOCO,VOCO Admira Fusion,2783,Капсулы 15 × 0.2 г · оттенок A2
VOCO,VOCO Admira Fusion,2756,Шприц 3 г · оттенок A3
VOCO,VOCO Admira Fusion,2784,Капсулы 15 × 0.2 г · оттенок A3
VOCO,VOCO Admira Fusion,2758,Шприц 3 г · оттенок A3.5
VOCO,VOCO Admira Fusion,2786,Капсулы 15 × 0.2 г · оттенок A3.5
VOCO,VOCO Admira Fusion,2759,Шприц 3 г · оттенок A4
VOCO,VOCO Admira Fusion,2787,Капсулы 15 × 0.2 г · оттенок A4
VOCO,VOCO Admira Fusion,2762,Шприц 3 г · оттенок B1
VOCO,VOCO Admira Fusion,2790,Капсулы 15 × 0.2 г · оттенок B1
VOCO,VOCO Admira Fusion,2763,Шприц 3 г · оттенок B2
VOCO,VOCO Admira Fusion,2791,Капсулы 15 × 0.2 г · оттенок B2
VOCO,VOCO Admira Fusion,2764,Шприц 3 г · оттенок B3
VOCO,VOCO Admira Fusion,2792,Капсулы 15 × 0.2 г · оттенок B3
VOCO,VOCO Admira Fusion,2766,Шприц 3 г · оттенок C2
VOCO,VOCO Admira Fusion,2794,Капсулы 15 × 0.2 г · оттенок C2
VOCO,VOCO Admira Fusion,2768,Шприц 3 г · оттенок D3
VOCO,VOCO Admira Fusion,2796,Капсулы 15 × 0.2 г · оттенок D3
VOCO,VOCO Admira Fusion,2770,Шприц 3 г · опаковый A1
VOCO,VOCO Admira Fusion,2798,Капсулы 15 × 0.2 г · опаковый A1
VOCO,VOCO Admira Fusion,2771,Шприц 3 г · опаковый A2
VOCO,VOCO Admira Fusion,2799,Капсулы 15 × 0.2 г · опаковый A2
VOCO,VOCO Admira Fusion,2772,Шприц 3 г · опаковый A3
VOCO,VOCO Admira Fusion,2800,Капсулы 15 × 0.2 г · опаковый A3
VOCO,VOCO Admira Fusion,2773,Шприц 3 г · опаковый A3.5
VOCO,VOCO Admira Fusion,2801,Капсулы 15 × 0.2 г · опаковый A3.5
VOCO,VOCO Admira Fusion,2775,Шприц 3 г · Bleach Light
VOCO,VOCO Admira Fusion,2803,Капсулы 15 × 0.2 г · Bleach Light
VOCO,VOCO Admira Fusion,2776,Шприц 3 г · режущий край
VOCO,VOCO Admira Fusion,2804,Капсулы 15 × 0.2 г · режущий край
VOCO,VOCO Admira Fusion,2757,Шприц 3 г · оттенок GA3.25
VOCO,VOCO Admira Fusion,2785,Капсулы 15 × 0.2 г · оттенок GA3.25
VOCO,VOCO Admira Fusion,2760,Шприц 3 г · оттенок GA5
VOCO,VOCO Admira Fusion,2788,Капсулы 15 × 0.2 г · оттенок GA5
VOCO,VOCO Admira Fusion,2777,Шприц 3 г · Bleach XL
VOCO,VOCO Admira Fusion,2805,Капсулы 15 × 0.2 г · Bleach XL
VOCO,VOCO Admira Fusion,2806,Капсулы ассорти 15 × 0.2 г · B1 / B3 / D3 / BL / режущий край
VOCO,VOCO GrandioSO,2600,Набор шприцев 5 × 4 г · A1 / A2 / A3 / B1 / GA3.25
VOCO,VOCO GrandioSO,2640,Набор капсул 80 × 0.25 г · A1 / A2 / A3 / B1 / GA3.25
VOCO,VOCO GrandioSO,2610,Шприц 4 г · оттенок A1
VOCO,VOCO GrandioSO,2650,Капсулы 16 × 0.25 г · оттенок A1
VOCO,VOCO GrandioSO,2611,Шприц 4 г · оттенок A2
VOCO,VOCO GrandioSO,2651,Капсулы 16 × 0.25 г · оттенок A2
VOCO,VOCO GrandioSO,2612,Шприц 4 г · оттенок A3
VOCO,VOCO GrandioSO,2652,Капсулы 16 × 0.25 г · оттенок A3
VOCO,VOCO GrandioSO,2614,Шприц 4 г · оттенок A3.5
VOCO,VOCO GrandioSO,2654,Капсулы 16 × 0.25 г · оттенок A3.5
VOCO,VOCO GrandioSO,2615,Шприц 4 г · оттенок A4
VOCO,VOCO GrandioSO,2655,Капсулы 16 × 0.25 г · оттенок A4
VOCO,VOCO GrandioSO,2619,Шприц 4 г · оттенок B1
VOCO,VOCO GrandioSO,2659,Капсулы 16 × 0.25 г · оттенок B1
VOCO,VOCO GrandioSO,2620,Шприц 4 г · оттенок B2
VOCO,VOCO GrandioSO,2660,Капсулы 16 × 0.25 г · оттенок B2
VOCO,VOCO GrandioSO,2621,Шприц 4 г · оттенок B3
VOCO,VOCO GrandioSO,2661,Капсулы 16 × 0.25 г · оттенок B3
VOCO,VOCO GrandioSO,2624,Шприц 4 г · оттенок C2
VOCO,VOCO GrandioSO,2664,Капсулы 16 × 0.25 г · оттенок C2
VOCO,VOCO GrandioSO,2627,Шприц 4 г · оттенок D3
VOCO,VOCO GrandioSO,2667,Капсулы 16 × 0.25 г · оттенок D3
VOCO,VOCO GrandioSO,2629,Шприц 4 г · режущий край
VOCO,VOCO GrandioSO,2669,Капсулы 16 × 0.25 г · режущий край
VOCO,VOCO GrandioSO,2630,Шприц 4 г · опаковый A1
VOCO,VOCO GrandioSO,2670,Капсулы 16 × 0.25 г · опаковый A1
VOCO,VOCO GrandioSO,2631,Шприц 4 г · опаковый A2
VOCO,VOCO GrandioSO,2671,Капсулы 16 × 0.25 г · опаковый A2
VOCO,VOCO GrandioSO,2633,Шприц 4 г · опаковый A3.5
VOCO,VOCO GrandioSO,2673,Капсулы 16 × 0.25 г · опаковый A3.5
VOCO,VOCO GrandioSO,2635,Шприц 4 г · Bleach Light
VOCO,VOCO GrandioSO,2675,Капсулы 16 × 0.25 г · Bleach Light
VOCO,VOCO GrandioSO,2613,Шприц 4 г · оттенок GA3.25
VOCO,VOCO GrandioSO,2653,Капсулы 16 × 0.25 г · оттенок GA3.25
VOCO,VOCO GrandioSO,2616,Шприц 4 г · оттенок GA5
VOCO,VOCO GrandioSO,2656,Капсулы 16 × 0.25 г · оттенок GA5
VOCO,VOCO Futurabond U,1571,SingleDose 50 шт.
VOCO,VOCO Futurabond U,1572,SingleDose 200 шт.
VOCO,VOCO Futurabond U,1574,Пробный набор SingleDose 20 шт. + Vococid 2 мл
VOCO,VOCO Futurabond U,1577,Флакон 5 мл
VOCO,VOCO Futurabond U,1578,DCA флакон 2 мл
VOCO,VOCO Bifix QM,1217,Набор QuickMix 10 г универсальный
VOCO,VOCO Bifix QM,1218,QuickMix 10 г универсальный
VOCO,VOCO Bifix QM,1219,QuickMix 10 г прозрачный
VOCO,VOCO Bifix QM,1759,QuickMix 10 г белый непрозрачный
VOCO,VOCO Profluorid Varnish,2971,Тюбики 4 × 10 мл · ассорти
VOCO,VOCO Profluorid Varnish,1267,Тюбик 10 мл · дыня
VOCO,VOCO Profluorid Varnish,1272,Тюбик 50 мл · дыня
VOCO,VOCO Profluorid Varnish,2232,Тюбик 10 мл · карамель
VOCO,VOCO Profluorid Varnish,2233,Тюбик 10 мл · вишня
VOCO,VOCO Profluorid Varnish,2234,Тюбик 10 мл · мята
VOCO,VOCO Profluorid Varnish,2236,Тюбик 10 мл · кола-лайм
VOCO,VOCO Profluorid Varnish,2237,Тюбик 10 мл · пина-колада
VOCO,VOCO Profluorid Varnish,1269,SingleDose 50 × 0.40 мл · дыня
VOCO,VOCO Profluorid Varnish,1271,SingleDose 200 × 0.40 мл · дыня
VOCO,VOCO Profluorid Varnish,2226,SingleDose 50 × 0.40 мл · карамель
VOCO,VOCO Profluorid Varnish,2229,SingleDose 200 × 0.40 мл · карамель
VOCO,VOCO Profluorid Varnish,2227,SingleDose 50 × 0.40 мл · вишня
VOCO,VOCO Profluorid Varnish,2230,SingleDose 200 × 0.40 мл · вишня
VOCO,VOCO Profluorid Varnish,2228,SingleDose 50 × 0.40 мл · мята
VOCO,VOCO Profluorid Varnish,2231,SingleDose 200 × 0.40 мл · мята
VOCO,VOCO Profluorid Varnish,2238,SingleDose 50 × 0.40 мл · жевательная резинка
VOCO,VOCO Profluorid Varnish,2239,SingleDose 200 × 0.40 мл · жевательная резинка
VOCO,VOCO Profluorid Varnish,2240,SingleDose 50 × 0.40 мл · кола-лайм
VOCO,VOCO Profluorid Varnish,2241,SingleDose 200 × 0.40 мл · кола-лайм
VOCO,VOCO Profluorid Varnish,2242,SingleDose 50 × 0.40 мл · пина-колада
VOCO,VOCO Profluorid Varnish,2243,SingleDose 200 × 0.40 мл · пина-колада
VOCO,VOCO Profluorid Varnish,1268,SingleDose 50 × 0.25 мл · дыня
VOCO,VOCO Profluorid Varnish,2225,SingleDose 48 × 0.40 мл · ассорти
VOCO,VOCO Profluorid Varnish,2235,Картриджи 5 × 1.70 мл · дыня
