brand,inCatalog,sourceCount,evidenceLevels,sourceTypes,sourceNames,evidenceUrls,nextAction,updatedAt
BiLumix,NO,1,KZ_CATALOG_OBSERVED_REVIEW_REQUIRED,KZ_SPECIALIZED_RETAILER,Kazakhstan specialized seller observations,https://ddd.com.kz/g9477358-stomatologicheskoe-oborudovanie,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
BIOLA,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,СТОМир,https://stomir.kz/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Biomaterials Korea,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
BISCO,YES,1,KZ_EVIDENCE_RECORDED_IN_CATALOG,INTERNAL_CURATED_CATALOG,Existing DentMarket Kazakhstan evidence,https://dentmarket-shop.vercel.app/,AUDIT_COMPLETE_KZ_LINE_AND_REFERENCES,2026-07-23
BlancOne,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Castellini,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,Unident Kazakhstan,https://www.unident-online.kz/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Cefla,NO,1,KZ_DISTRIBUTOR_CLAIM,KZ_SPECIALIZED_DISTRIBUTOR,AMDgroup,https://amdgroup.kz/brendy/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
ChoiceTech,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
CICADA,YES,1,KZ_EVIDENCE_RECORDED_IN_CATALOG,INTERNAL_CURATED_CATALOG,Existing DentMarket Kazakhstan evidence,https://dentmarket-shop.vercel.app/,AUDIT_COMPLETE_KZ_LINE_AND_REFERENCES,2026-07-23
Clean+Safe,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,NORD STOM,https://nordstom.kz/brand,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Coral,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,NORD STOM,https://nordstom.kz/brand,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Cotisen,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
COXO,YES,2,KZ_CATALOG_OBSERVED | KZ_DISTRIBUTOR_CLAIM,KZ_SPECIALIZED_MARKETPLACE | KZ_SPECIALIZED_DISTRIBUTOR,Denti.kz | Medstom KZ,https://denti.kz/about/ | https://medstom.kz/,AUDIT_COMPLETE_KZ_LINE_AND_REFERENCES,2026-07-23
Dental Air,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Dental Art,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,Unident Kazakhstan,https://www.unident-online.kz/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Dental X,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,Unident Kazakhstan,https://www.unident-online.kz/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
DentKist,YES,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,СТОМир,https://stomir.kz/,AUDIT_COMPLETE_KZ_LINE_AND_REFERENCES,2026-07-23
Dentsply Sirona,YES,1,KZ_EVIDENCE_RECORDED_IN_CATALOG,INTERNAL_CURATED_CATALOG,Existing DentMarket Kazakhstan evidence,https://dentmarket-shop.vercel.app/,AUDIT_COMPLETE_KZ_LINE_AND_REFERENCES,2026-07-23
DENU,NO,1,KZ_DISTRIBUTOR_CLAIM,KZ_SPECIALIZED_DISTRIBUTOR,Medstom KZ,https://medstom.kz/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
DIO,NO,2,KZ_CATALOG_OBSERVED | KZ_DISTRIBUTOR_CLAIM,KZ_SPECIALIZED_MARKETPLACE | KZ_SPECIALIZED_DISTRIBUTOR,Denti.kz | LIRA Medical Group,https://denti.kz/about/ | https://dent-materials.kz/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Diplomat Dental,NO,1,KZ_MARKET_OBSERVED_REVIEW_REQUIRED,KZ_MARKETPLACE_OR_CLASSIFIEDS,Kazakhstan marketplace observations,https://www.olx.kz/uslugi/dlya-biznesa/oborudovanie/q-%D1%81%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9-%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Doctor Smile,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
DOF,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Dräger,NO,1,KZ_MARKET_OBSERVED_REVIEW_REQUIRED,KZ_MARKETPLACE_OR_CLASSIFIEDS,Kazakhstan marketplace observations,https://www.olx.kz/uslugi/dlya-biznesa/oborudovanie/q-%D1%81%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9-%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Dürr Dental,NO,1,KZ_DISTRIBUTOR_CLAIM,KZ_SPECIALIZED_DISTRIBUTOR,AMDgroup,https://amdgroup.kz/brendy/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
EKOM,YES,2,KZ_CATALOG_OBSERVED | KZ_MARKET_OBSERVED_REVIEW_REQUIRED,KZ_SPECIALIZED_RETAILER | KZ_MARKETPLACE_OR_CLASSIFIEDS,NORD STOM | Kazakhstan marketplace observations,https://nordstom.kz/brand | https://www.olx.kz/uslugi/dlya-biznesa/oborudovanie/q-%D1%81%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9-%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5/,AUDIT_COMPLETE_KZ_LINE_AND_REFERENCES,2026-07-23
EMS,NO,2,KZ_DISTRIBUTOR_CLAIM | KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_DISTRIBUTOR | KZ_SPECIALIZED_RETAILER,AMDgroup | NORD STOM,https://amdgroup.kz/brendy/ | https://nordstom.kz/brand,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
ESCO Medical,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Falcon,NO,1,KZ_DISTRIBUTOR_CLAIM,KZ_SPECIALIZED_DISTRIBUTOR,Medstom KZ,https://medstom.kz/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Ferroplast,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,NORD STOM,https://nordstom.kz/brand,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
FOMOS,YES,1,KZ_DISTRIBUTOR_CLAIM,KZ_SPECIALIZED_DISTRIBUTOR,Medstom KZ,https://medstom.kz/,AUDIT_COMPLETE_KZ_LINE_AND_REFERENCES,2026-07-23
Gapadent,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,СТОМир,https://stomir.kz/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
GC,YES,1,KZ_EVIDENCE_RECORDED_IN_CATALOG,INTERNAL_CURATED_CATALOG,Existing DentMarket Kazakhstan evidence,https://dentmarket-shop.vercel.app/,AUDIT_COMPLETE_KZ_LINE_AND_REFERENCES,2026-07-23
Genoray,NO,2,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER | KZ_MEDICAL_DISTRIBUTOR,Unident Kazakhstan | Ordamed,https://www.unident-online.kz/ | https://ordamed.com/kz/catalog/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Good Doctors,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,Unident Kazakhstan,https://www.unident-online.kz/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
GoodnDoc,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
GRT,NO,1,KZ_DISTRIBUTOR_CLAIM,KZ_SPECIALIZED_DISTRIBUTOR,LIRA Medical Group,https://dent-materials.kz/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Handy,NO,1,KZ_DISTRIBUTOR_CLAIM,KZ_SPECIALIZED_DISTRIBUTOR,Medstom KZ,https://medstom.kz/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Humanchemie,NO,1,KZ_DISTRIBUTOR_CLAIM,KZ_SPECIALIZED_DISTRIBUTOR,AMDgroup,https://amdgroup.kz/brendy/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Hummer-Pak,YES,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,СТОМир,https://stomir.kz/,AUDIT_COMPLETE_KZ_LINE_AND_REFERENCES,2026-07-23
Huons,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
IMD,YES,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,СТОМир,https://stomir.kz/,AUDIT_COMPLETE_KZ_LINE_AND_REFERENCES,2026-07-23
Inci Dental,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Interdent,YES,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,NORD STOM,https://nordstom.kz/brand,AUDIT_COMPLETE_KZ_LINE_AND_REFERENCES,2026-07-23
IQ Dent,YES,2,KZ_CATALOG_OBSERVED | KZ_DISTRIBUTOR_CLAIM,KZ_SPECIALIZED_MARKETPLACE | KZ_SPECIALIZED_DISTRIBUTOR,Denti.kz | Medstom KZ,https://denti.kz/about/ | https://medstom.kz/,AUDIT_COMPLETE_KZ_LINE_AND_REFERENCES,2026-07-23
Ivoclar,YES,2,KZ_DISTRIBUTOR_CLAIM | KZ_EVIDENCE_RECORDED_IN_CATALOG,KZ_SPECIALIZED_DISTRIBUTOR | INTERNAL_CURATED_CATALOG,AMDgroup | Existing DentMarket Kazakhstan evidence,https://amdgroup.kz/brendy/ | https://dentmarket-shop.vercel.app/,AUDIT_COMPLETE_KZ_LINE_AND_REFERENCES,2026-07-23
JINY,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Johnson & Johnson,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Kaeser,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,Unident Kazakhstan,https://www.unident-online.kz/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
KaVo,NO,2,KZ_MARKET_OBSERVED_REVIEW_REQUIRED | KZ_CATALOG_OBSERVED_REVIEW_REQUIRED,KZ_MARKETPLACE_OR_CLASSIFIEDS | KZ_SPECIALIZED_RETAILER,Kazakhstan marketplace observations | Kazakhstan specialized seller observations,https://www.olx.kz/uslugi/dlya-biznesa/oborudovanie/q-%D1%81%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9-%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5/ | https://ddd.com.kz/g9477358-stomatologicheskoe-oborudovanie,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Kerr,YES,1,KZ_EVIDENCE_RECORDED_IN_CATALOG,INTERNAL_CURATED_CATALOG,Existing DentMarket Kazakhstan evidence,https://dentmarket-shop.vercel.app/,AUDIT_COMPLETE_KZ_LINE_AND_REFERENCES,2026-07-23
Kettenbach,YES,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,NORD STOM,https://nordstom.kz/brand,AUDIT_COMPLETE_KZ_LINE_AND_REFERENCES,2026-07-23
KINGFA Medical,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
KO-MAX,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
KristiDent,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,NORD STOM,https://nordstom.kz/brand,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Kulzer,YES,1,KZ_DISTRIBUTOR_CLAIM,KZ_SPECIALIZED_DISTRIBUTOR,AMDgroup,https://amdgroup.kz/brendy/,AUDIT_COMPLETE_KZ_LINE_AND_REFERENCES,2026-07-23
Kuraray Noritake,YES,1,KZ_EVIDENCE_RECORDED_IN_CATALOG,INTERNAL_CURATED_CATALOG,Existing DentMarket Kazakhstan evidence,https://dentmarket-shop.vercel.app/,AUDIT_COMPLETE_KZ_LINE_AND_REFERENCES,2026-07-23
LaTus,YES,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,СТОМир,https://stomir.kz/,AUDIT_COMPLETE_KZ_LINE_AND_REFERENCES,2026-07-23
LM Dental,YES,1,KZ_DISTRIBUTOR_CLAIM,KZ_SPECIALIZED_DISTRIBUTOR,AMDgroup,https://amdgroup.kz/brendy/,AUDIT_COMPLETE_KZ_LINE_AND_REFERENCES,2026-07-23
Madespa,NO,1,KZ_DISTRIBUTOR_CLAIM,KZ_SPECIALIZED_DISTRIBUTOR,AMDgroup,https://amdgroup.kz/brendy/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Majestic,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
MEDESY,NO,1,KZ_DISTRIBUTOR_CLAIM,KZ_SPECIALIZED_DISTRIBUTOR,AMDgroup,https://amdgroup.kz/brendy/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Medexim,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,NORD STOM,https://nordstom.kz/brand,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Medit,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
MedPark,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Medprotect,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
MELAG,NO,1,KZ_MARKET_OBSERVED_REVIEW_REQUIRED,KZ_MARKETPLACE_OR_CLASSIFIEDS,Kazakhstan marketplace observations,https://www.olx.kz/uslugi/dlya-biznesa/oborudovanie/q-%D1%81%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9-%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Mercury,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,Dentalmarket Kazakhstan,https://dentalmarket.kz/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
MGF,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,Unident Kazakhstan,https://www.unident-online.kz/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Miglionico,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Miradent,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Morita,NO,2,KZ_DISTRIBUTOR_CLAIM | KZ_MARKET_OBSERVED_REVIEW_REQUIRED,KZ_SPECIALIZED_DISTRIBUTOR | KZ_MARKETPLACE_OR_CLASSIFIEDS,AMDgroup | Kazakhstan marketplace observations,https://amdgroup.kz/brendy/ | https://www.olx.kz/uslugi/dlya-biznesa/oborudovanie/q-%D1%81%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9-%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
MustDent,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Myobrace,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,СТОМир,https://stomir.kz/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
MyRay,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,Unident Kazakhstan,https://www.unident-online.kz/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
NIC,YES,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,СТОМир,https://stomir.kz/,AUDIT_COMPLETE_KZ_LINE_AND_REFERENCES,2026-07-23
NSK,YES,1,KZ_EVIDENCE_RECORDED_IN_CATALOG,INTERNAL_CURATED_CATALOG,Existing DentMarket Kazakhstan evidence,https://dentmarket-shop.vercel.app/,AUDIT_COMPLETE_KZ_LINE_AND_REFERENCES,2026-07-23
NTI,NO,1,KZ_DISTRIBUTOR_CLAIM,KZ_SPECIALIZED_DISTRIBUTOR,AMDgroup,https://amdgroup.kz/brendy/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Nuvo,NO,1,KZ_DISTRIBUTOR_CLAIM,KZ_SPECIALIZED_DISTRIBUTOR,AMDgroup,https://amdgroup.kz/brendy/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Olident,NO,1,KZ_DISTRIBUTOR_CLAIM,KZ_SPECIALIZED_DISTRIBUTOR,Medstom KZ,https://medstom.kz/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Omega Dent,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,NORD STOM,https://nordstom.kz/brand,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
One Drop Only,YES,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,NORD STOM,https://nordstom.kz/brand,AUDIT_COMPLETE_KZ_LINE_AND_REFERENCES,2026-07-23
Ordamed,NO,1,KZ_CATALOG_OBSERVED,KZ_MEDICAL_DISTRIBUTOR,Ordamed,https://ordamed.com/kz/catalog/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Ormco,YES,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,NORD STOM,https://nordstom.kz/brand,AUDIT_COMPLETE_KZ_LINE_AND_REFERENCES,2026-07-23
Osstem,NO,2,KZ_DISTRIBUTOR_CLAIM | KZ_MARKET_OBSERVED_REVIEW_REQUIRED,KZ_SPECIALIZED_DISTRIBUTOR | KZ_MARKETPLACE_OR_CLASSIFIEDS,LIRA Medical Group | Kazakhstan marketplace observations,https://dent-materials.kz/ | https://www.olx.kz/uslugi/dlya-biznesa/oborudovanie/q-%D1%81%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9-%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
OSUNG MND,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_MARKETPLACE,Denti.kz,https://denti.kz/about/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Pierrot,NO,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,СТОМир,https://stomir.kz/,BUILD_CANONICAL_MANUFACTURER_CATALOG,2026-07-23
Planmeca,YES,1,KZ_CATALOG_OBSERVED,KZ_SPECIALIZED_RETAILER,NORD STOM,https://nordstom.kz/brand,AUDIT_COMPLETE_KZ_LINE_AND_REFERENCES,2026-07-23
